Name;h;b;t;A;cty;ctz;Iy;Iz;iy;iz;Wy.el;Wz.el;Wy.pl;Wz.pl;It;WT;As
RHS 160x80x12.5;0.16;0.08;0.0125;0.00521;9.8;3.400E+00;1.480E-05;4.650E-06;5.340E-02;2.990E-02;1.860E-04;1.160E-04;2.470E-04;1.460E-04;1.200E-05;1.980E-04;4.480E-01
RHS 200x100x4;0.2;0.1;0.004;0.00232;47;2.200E+01;1.220E-05;4.160E-06;7.260E-02;4.240E-02;1.220E-04;8.320E-05;1.500E-04;9.280E-05;9.830E-06;1.420E-04;5.900E-01
RHS 200x100x5;0.2;0.1;0.005;0.00287;37;1.700E+01;1.500E-05;5.050E-06;7.210E-02;4.190E-02;1.490E-04;1.010E-04;1.850E-04;1.140E-04;1.200E-05;1.720E-04;5.870E-01
RHS 200x100x6.3;0.2;0.1;0.0063;0.00358;28.7;1.290E+01;1.830E-05;6.130E-06;7.150E-02;4.140E-02;1.830E-04;1.230E-04;2.280E-04;1.400E-04;1.480E-05;2.080E-04;5.840E-01
RHS 200x100x8;0.2;0.1;0.008;0.00448;22;9.500E+00;2.230E-05;7.390E-06;7.060E-02;4.060E-02;2.230E-04;1.480E-04;2.820E-04;1.720E-04;1.800E-05;2.510E-04;5.790E-01
RHS 200x100x10;0.2;0.1;0.01;0.00549;17;7.000E+00;2.660E-05;8.690E-06;6.960E-02;3.980E-02;2.660E-04;1.740E-04;3.410E-04;2.060E-04;2.160E-05;2.950E-04;5.740E-01
RHS 200x100x12.5;0.2;0.1;0.0125;0.00671;13;5.000E+00;3.140E-05;1.000E-05;6.840E-02;3.870E-02;3.140E-04;2.010E-04;4.080E-04;2.450E-04;2.540E-05;3.410E-04;5.680E-01
RHS 200x100x14.2;0.2;0.1;0.0142;0.0075;11.1;4.040E+00;3.420E-05;1.080E-05;6.750E-02;3.800E-02;3.420E-04;2.160E-04;4.500E-04;2.680E-04;2.770E-05;3.680E-04;5.630E-01
RHS 200x100x16;0.2;0.1;0.016;0.0083;9.5;3.250E+00;3.680E-05;1.150E-05;6.660E-02;3.720E-02;3.680E-04;2.290E-04;4.910E-04;2.900E-04;2.980E-05;3.910E-04;5.590E-01
RHS 200x120x5;0.2;0.12;0.005;0.00307;37;2.100E+01;1.680E-05;7.620E-06;7.400E-02;4.980E-02;1.680E-04;1.270E-04;2.050E-04;1.440E-04;1.650E-05;2.100E-04;6.270E-01
