Name;h;b;t;A;ct;I;i;Wel;Wpl;It;WT;As
SHS 180x10;0.18;0.18;0.01;0.00669;15;3.190E-05;6.910E-02;3.550E-04;4.240E-04;5.050E-05;5.180E-04;6.940E-01
SHS 180x12.5;0.18;0.18;0.0125;0.00821;11.4;3.790E-05;6.800E-02;4.210E-04;5.110E-04;6.070E-05;6.130E-04;6.880E-01
SHS 180x14.2;0.18;0.18;0.0142;0.0092;9.68;4.150E-05;6.720E-02;4.620E-04;5.660E-04;6.710E-05;6.700E-04;6.830E-01
SHS 180x16;0.18;0.18;0.016;0.0102;8.25;4.500E-05;6.640E-02;5.000E-04;6.210E-04;7.340E-05;7.240E-04;6.790E-01
SHS 200x5;0.2;0.2;0.005;0.00387;37;2.440E-05;7.950E-02;2.450E-04;2.830E-04;3.760E-05;3.620E-04;7.870E-01
SHS 200x6.3;0.2;0.2;0.0063;0.00484;28.7;3.010E-05;7.890E-02;3.010E-04;3.500E-04;4.650E-05;4.440E-04;7.840E-01
SHS 200x8;0.2;0.2;0.008;0.00608;22;3.710E-05;7.810E-02;3.710E-04;4.360E-04;5.780E-05;5.450E-04;7.790E-01
SHS 200x10;0.2;0.2;0.01;0.00749;17;4.470E-05;7.720E-02;4.470E-04;5.310E-04;7.030E-05;6.550E-04;7.740E-01
SHS 200x12.5;0.2;0.2;0.0125;0.00921;13;5.340E-05;7.610E-02;5.340E-04;6.430E-04;8.490E-05;7.780E-04;7.680E-01
SHS 200x14.2;0.2;0.2;0.0142;0.0103;11.1;5.870E-05;7.540E-02;5.870E-04;7.140E-04;9.420E-05;8.540E-04;7.630E-01
SHS 200x16;0.2;0.2;0.016;0.0115;9.5;6.390E-05;7.460E-02;6.390E-04;7.850E-04;1.030E-04;9.270E-04;7.590E-01
SHS 200x17.5;0.2;0.2;0.0175;0.0124;8.43;6.790E-05;7.390E-02;6.790E-04;8.420E-04;1.110E-04;9.830E-04;7.550E-01
SHS 220x8;0.22;0.22;0.008;0.00672;24.5;5.000E-05;8.630E-02;4.550E-04;5.320E-04;7.760E-05;6.690E-04;8.590E-01
SHS 220x10;0.22;0.22;0.01;0.00829;19;6.050E-05;8.540E-02;5.500E-04;6.500E-04;9.470E-05;8.070E-04;8.540E-01
SHS 220x12.5;0.22;0.22;0.0125;0.0102;14.6;7.250E-05;8.430E-02;6.590E-04;7.890E-04;1.150E-04;9.630E-04;8.480E-01
SHS 220x14.2;0.22;0.22;0.0142;0.0115;12.5;8.010E-05;8.350E-02;7.280E-04;8.790E-04;1.280E-04;1.060E-03;8.430E-01
SHS 220x16;0.22;0.22;0.016;0.0128;10.8;8.750E-05;8.270E-02;7.950E-04;9.690E-04;1.410E-04;1.160E-03;8.390E-01
SHS 220x17.5;0.22;0.22;0.0175;0.0138;9.57;9.320E-05;8.210E-02;8.480E-04;1.040E-03;1.510E-04;1.230E-03;8.350E-01
SHS 250x5;0.25;0.25;0.005;0.00487;47;4.860E-05;9.990E-02;3.890E-04;4.470E-04;7.430E-05;5.770E-04;9.870E-01
