Name;h;w;t;A;cy;cz;cu;cv;Iy;Iz;Wy;Wz;Iu;Iv
150x100x10;0.15;0.1;0.01;2.42E-03;4.81E-02;2.34E-02;1.03E-01;5.29E-02;5.53E-06;1.99E-06;5.42E-05;2.59E-05;6.37E-06;1.14E-06
150x100x12;0.15;0.1;0.012;2.87E-03;4.89E-02;2.42E-02;1.02E-01;5.28E-02;6.51E-06;2.33E-06;6.44E-05;3.07E-05;7.49E-06;1.34E-06
150x100x14;0.15;0.1;0.014;3.32E-03;4.98E-02;2.50E-02;1.02E-01;5.22E-02;7.44E-06;2.65E-06;7.43E-05;3.53E-05;8.56E-06;1.53E-06
200x100x10;0.2;0.1;0.01;2.92E-03;6.93E-02;2.01E-02;1.32E-01;6.05E-02;1.22E-05;2.10E-06;9.32E-05;2.63E-05;1.29E-05;1.35E-06
200x100x12;0.2;0.1;0.012;3.48E-03;7.03E-02;2.10E-02;1.31E-01;6.00E-02;1.44E-05;2.47E-06;1.11E-04;3.13E-05;1.53E-05;1.59E-06
200x100x14;0.2;0.1;0.014;4.03E-03;7.12E-02;2.18E-02;1.30E-01;5.85E-02;1.65E-05;2.82E-06;1.28E-04;3.61E-05;1.76E-05;1.82E-06
200x100x15;0.2;0.1;0.015;4.30E-03;7.16E-02;2.22E-02;1.30E-01;5.84E-02;1.76E-05;2.99E-06;1.37E-04;3.85E-05;1.86E-05;1.93E-06
200x100x16;0.2;0.1;0.016;4.57E-03;7.20E-02;2.26E-02;1.30E-01;5.82E-02;1.86E-05;3.16E-06;1.45E-04;4.08E-05;1.97E-05;2.04E-06
200x150x12;0.2;0.15;0.012;4.08E-03;6.08E-02;3.61E-02;1.39E-01;7.34E-02;1.65E-05;8.03E-06;1.19E-04;7.05E-05;2.03E-05;4.30E-06
200x150x15;0.2;0.15;0.015;5.05E-03;6.21E-02;3.73E-02;1.39E-01;7.33E-02;2.02E-05;9.79E-06;1.47E-04;8.69E-05;2.48E-05;5.26E-06
